PPC Dashboard Leads Data updated till 31st-July-26,,,,,Total,,,July' 2026,,,June' 2026,,,May' 2026,,,Apr' 2026,,,Mar' 2026,,,Feb' 2026,,,Jan' 2026,,,Dec' 2025,,,Nov' 2025,,,Oct' 2025,,,Sep' 2025,,,Aug' 2025,,,July' 2025,,,June' 2025,,,May' 2025,,,Apr' 2025,,,Mar' 2025,,,Feb' 2025,,,Jan' 2025,,,Dec' 2024,,,Nov' 2024,,,Oct' 2024,,,Sep' 2024,,,Aug' 2024,,,July' 2024,,,June' 2024,,,May' 2024,,,Apr' 2024,,,Mar' 2024,,,Feb' 2024,,,Jan' 2024,,,Dec' 2023,,,Nov' 2023,,,Oct' 2023,,,Sep' 2023,,,Aug' 2023,,,Jul' 2023,,,Jun' 2023,,,May' 2023,,,April' 2023,,,,,,February' 2023,,,January' 2023,,,December' 2022,,,November' 2022,,,October' 2022,,,September' 2022,,,August' 2022,,,July' 2022,,,June' 2022,,,,,June' 2022,,
26,Hire Graphic design Expert (2 versions),https://www.virtualemployee.com/ir/hire-graphic-designers/,Wasi,Sanjay,3999,129,3.23%,2,0,0.00%,0,0,,2,0,0.00%,2,0,0.00%,3,0,0.00%,2,0,0.00%,1,0,0.00%,1,0,0.00%,0,0,,1,0,0.00%,1,0,0.00%,0,0,,0,0,,2,0,0.00%,2,0,0.00%,0,0,,0,0,,3,0,0.00%,1,0,0.00%,0,0,,1,0,0.00%,0,0,,2,0,0.00%,0,0,,2,0,0.00%,2,0,0.00%,2,0,0.00%,1,0,0.00%,2,0,0.00%,0,0,,2,0,0.00%,0,0,,3,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,90,7,7.78%,366,8,2.19%,209,1100.00%,5.26%,183,600.00%,3.28%,255,900.00%,3.53%,79,200.00%,2.53%,154,600.00%,3.90%,442,1000.00%,2.26%,494,1200.00%,2.43%,391,1200.00%,3.07%,313,800.00%,2.56%,362,1000.00%,2.76%,314,900.00%,2.87%,10,34843.21%,314,9,2.87%
27,Hire Web designer India,https://www.virtualemployee.com/lp/hire-web-designers-india/,Wasi,Kamla,3560,120,3.37%,0,0,,0,0,,1,0,0.00%,0,0,,5,0,0.00%,3,0,0.00%,1,0,0.00%,6,0,0.00%,0,0,,3,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,118,9,7.63%,379,19,5.01%,219,800.00%,3.65%,26,200.00%,7.69%,188,200.00%,1.06%,6,0.00%,0.00%,39,300.00%,7.69%,538,1700.00%,3.16%,363,2000.00%,5.51%,437,1100.00%,2.52%,318,500.00%,1.57%,294,500.00%,1.70%,309,700.00%,2.27%,5,22026.43%,309,7,2.27%
28,Elite Dedicated Developers (Mobile Version),https://www.virtualemployee.com/service/elite-dedicated-developers-c/mobile.php,Irfan,Mukhteshwar,15002,436,2.91%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,122,4,3.28%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,461,13,2.82%,619,13,2.10%,856,16,1.87%,794,14,1.76%,518,5,0.97%,896,16,1.79%,633,17,2.69%,600,22,3.67%,595,23,3.87%,709,0,0.00%,573,23,4.01%,816,29,3.55%,883,36,4.08%,599,23,3.84%,652,26,3.99%,667,17,2.55%,409,2000.00%,4.89%,577,2000.00%,3.47%,234,400.00%,1.71%,324,900.00%,2.78%,269,500.00%,1.86%,432,1400.00%,3.24%,336,1700.00%,5.06%,421,1200.00%,2.85%,337,800.00%,2.37%,285,800.00%,2.81%,192,700.00%,3.65%,8,21917.81%,192,7,3.65%
29,Outsourcing Countries,https://www.virtualemployee.com/service/outsourcing-countries/,old,old,2442,101,4.14%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,4,0,0.00%,0,0,,1,0,0.00%,3,0,0.00%,2,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0.00%,0.00%,18,100.00%,5.56%,26,100.00%,3.85%,2,0.00%,0.00%,25,100.00%,4.00%,66,100.00%,1.52%,121,400.00%,3.31%,214,500.00%,2.34%,460,1800.00%,3.91%,494,1200.00%,2.43%,500,2300.00%,4.60%,12,26086.96%,500,23,4.60%
30,SOCIAL MEDIA EXPERTS,https://www.virtualemployee.com/ir/hire-social-media-experts/,Wasi,Sanjay,4894,203,4.15%,1304,50,3.83%,1146,55,4.80%,816,35,4.29%,483,20,4.14%,162,0,0.00%,35,0,0.00%,72,0,0.00%,73,0,0.00%,0,0,,61,0,0.00%,1,0,0.00%,0,0,,0,0,,11,0,0.00%,12,0,0.00%,8,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0.00%,,188,600.00%,3.19%,385,1500.00%,3.90%,21,0.00%,0.00%,241,1400.00%,5.81%,253,600.00%,2.37%,485,2000.00%,4.12%,189,800.00%,4.23%,357,1600.00%,4.48%,515,1900.00%,3.69%,42,500.00%,11.90%,19,15966.39%,42,5,11.90%
31,Full Stack Developers,https://www.virtualemployee.com/ir/full-stack-dev-v3/,Wasi,Sanjay,2269,26,1.15%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0.00%,,0,0.00%,,1,0.00%,0.00%,0,0.00%,,58,200.00%,3.45%,255,200.00%,0.78%,149,100.00%,0.67%,344,200.00%,0.58%,371,500.00%,1.35%,323,300.00%,0.93%,380,400.00%,1.05%,3,28571.43%,380,4,1.05%
32,Outsource Accounting to India,https://www.virtualemployee.com/lp/hire-outsource-accounting-to-india/,Daya,Nabil,7192,255,3.55%,1,0,0.00%,1,0,0.00%,0,0,,0,0,,1,0,0.00%,1,0,0.00%,0,0,,2,0,0.00%,1,0,0.00%,3,0,0.00%,0,0,,0,0,,1,0,0.00%,0,0,,3,0,0.00%,88,0,0.00%,357,1,0.28%,402,7,1.74%,411,7,1.70%,320,4,1.25%,359,8,2.23%,480,16,3.33%,345,13,3.77%,335,13,3.88%,235,7,2.98%,165,13,7.88%,199,5,2.51%,253,10,3.95%,359,12,3.34%,371,20,5.39%,403,24,5.96%,1,0,0.00%,137,11,8.03%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,13,100.00%,7.69%,116,200.00%,1.72%,34,100.00%,2.94%,96,200.00%,2.08%,436,1000.00%,2.29%,217,600.00%,2.76%,307,700.00%,2.28%,295,1100.00%,3.73%,262,1300.00%,4.96%,272,900.00%,3.31%,13,39274.92%,272,9,3.31%
33,Hire Administrative Assistant,https://www.virtualemployee.com/lp/hire-administrative-assistant/,Daya,Nabil,6150,152,2.47%,11,0,0.00%,3,0,0.00%,5,0,0.00%,45,1,2.22%,10,0,0.00%,4,0,0.00%,1,0,0.00%,4,0,0.00%,2,0,0.00%,9,0,0.00%,4,0,0.00%,247,5,2.02%,83,1,1.20%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,0,0,,0,0,,1,0,0.00%,1,0,0.00%,2,0,0.00%,163,6,3.68%,1,0,0.00%,1,0,0.00%,368,14,3.80%,795,15,1.89%,853,26,3.05%,850,20,2.35%,359,1000.00%,2.79%,195,700.00%,3.59%,107,200.00%,1.87%,181,300.00%,1.66%,91,100.00%,1.10%,200,500.00%,2.50%,258,600.00%,2.33%,299,1000.00%,3.34%,239,400.00%,1.67%,265,200.00%,0.75%,254,600.00%,2.36%,2,8474.58%,254,6,2.36%
34,Homepage(Original),https://www.virtualemployee.com/,Daya,Mukhteshwar,39957,#N/A,,5117,0,0.00%,0,0,,2383,0,0.00%,2425,0,0.00%,5917,#N/A,,634,5,0.79%,2071,0,0.00%,1893,0,0.00%,107,0,0.00%,1673,0,0.00%,74,0,0.00%,0,0,,0,0,,1169,0,0.00%,1301,0,0.00%,1322,0,0.00%,1322,14,1.06%,2486,0,0.00%,1328,0,0.00%,1110,0,0.00%,1230,0,0.00%,1412,0,0.00%,1483,4,0.27%,1399,10,0.71%,1224,7,0.57%,1105,6,0.54%,0,0,,0,0,,0,0,,0,0,,0,0,,0,7,,0,0,,294,20,6.80%,241,8,3.32%,285,19,6.67%,133,16,12.03%,162,13,8.02%,208,23,11.06%,809,1700.00%,2.10%,824,4200.00%,5.10%,432,3100.00%,7.18%,173,3400.00%,19.65%,190,2200.00%,11.58%,301,2200.00%,7.31%,216,1000.00%,4.63%,214,800.00%,3.74%,251,800.00%,3.19%,200,700.00%,3.50%,218,0.00%,0.00%,7,,218,0,0.00%
35,freelance software developer,https://www.virtualemployee.com/lp/hire-freelance-software-developers/,Wasi,Mohsin,2808,55,1.96%,0,0,,1,0,0.00%,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,0,0,,1,0,0.00%,1,0,0.00%,0,0,,1,0,0.00%,0,0,,4,0,0.00%,407,7,1.72%,159,2,1.26%,8,0,0.00%,10,0,0.00%,26,0,0.00%,11,0,0.00%,14,0,0.00%,28,0,0.00%,8,0,0.00%,30,0,0.00%,16,0,0.00%,38,1,2.63%,27,1,3.70%,54,1,1.85%,44,2,4.55%,17,0,0.00%,34,0,0.00%,32,1,3.13%,37,0,0.00%,36,0.00%,0.00%,21,100.00%,4.76%,100,200.00%,2.00%,185,600.00%,3.24%,300,400.00%,1.33%,274,900.00%,3.28%,209,200.00%,0.96%,240,400.00%,1.67%,164,400.00%,2.44%,137,200.00%,1.46%,4,27397.26%,137,2,1.46%
36,Full Stack (Mobile Version),https://www.virtualemployee.com/ir/full-stack-dev-m/,Wasi,Sanjay,1667,11,0.66%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,2,0.00%,0.00%,0,0.00%,,1,0.00%,0.00%,94,100.00%,1.06%,228,100.00%,0.44%,184,100.00%,0.54%,217,200.00%,0.92%,218,0.00%,0.00%,145,200.00%,1.38%,289,100.00%,0.35%,2,57142.86%,289,1,0.35%
37,hire-software-developers-india-i,https://www.virtualemployee.com/lp/hire-software-developers-india-i/,vikas,Kamla,1707,31,1.82%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,42,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,2,0.00%,0.00%,129,200.00%,1.55%,347,300.00%,0.86%,371,500.00%,1.35%,406,800.00%,1.97%,5,25380.71%,406,8,1.97%
38,Hire Virtual Employee Mobile Version,https://www.virtualemployee.com/lp/virtual-employee-mobile-v2-m/,Nilanjana,Nabil,1411,16,1.13%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,22,100.00%,4.55%,128,300.00%,2.34%,160,100.00%,0.63%,314,300.00%,0.96%,255,400.00%,1.57%,238,200.00%,0.84%,147,0.00%,0.00%,2,,147,0,0.00%
39,Hire Virtual Employee Desktop,https://www.virtualemployee.com/da/hire-virtual-employees-v1/,Nilanjana,Nabil,1692,58,3.43%,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,1,0,0.00%,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,53,0,0.00%,69,0,0.00%,110,2,1.82%,17,0,0.00%,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,48,0.00%,0.00%,44,100.00%,2.27%,68,200.00%,2.94%,116,600.00%,5.17%,219,1000.00%,4.57%,203,600.00%,2.96%,248,900.00%,3.63%,214,600.00%,2.80%,173,400.00%,2.31%,86,400.00%,4.65%,4,8602.15%,86,4,4.65%
40,Hire Web Developer Mobile Version,https://www.virtualemployee.com/da/hire-web-developer-mobile/,Daya,Mohsin,1071,30,2.80%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,3,0.00%,0.00%,199,400.00%,2.01%,424,1200.00%,2.83%,445,700.00%,1.57%,0,0.00%,,7,,0,0,
41,HVAC(Original),https://www.virtualemployee.com/lp/hire-hvac-experts-optimized/,Hemant,Antriksh,1273,16,1.26%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,15,0,0.00%,1,0,0.00%,80,1,1.25%,245,4,1.63%,192,4,2.08%,192,2,1.04%,174,1,0.57%,144,1,0.69%,114,100.00%,0.88%,1,11363.64%,114,1,0.88%
42,Transcription,https://www.virtualemployee.com/lp/Hire-professional-transcriptionists-v2/,Daya,Nabil,1212,16,1.32%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,1,0.00%,0.00%,244,200.00%,0.82%,219,200.00%,0.91%,123,0.00%,0.00%,101,0.00%,0.00%,180,200.00%,1.11%,171,400.00%,2.34%,2,8547.01%,171,4,2.34%
43,elite-dedicated-developers-c,https://www.virtualemployee.com/service/elite-dedicated-developers-c/,Daya,Mukhteshwar,22928,1009,4.40%,512,18,3.52%,432,15,3.47%,441,10,2.27%,490,17,3.47%,1331,11,0.83%,352,9,2.56%,535,6,1.12%,0,0,0.00%,872,43,4.93%,808,42,5.20%,702,32,4.56%,921,29,3.15%,785,26,3.31%,523,26,4.97%,787,44,5.59%,876,38,4.34%,732,33,4.51%,727,31,4.26%,642,32,4.98%,833,39,4.68%,835,32,3.83%,1011,31,3.07%,858,37,4.31%,908,53,5.84%,606,24,3.96%,425,15,3.53%,486,24,4.94%,472,24,5.08%,689,26,3.77%,1045,46,4.40%,923,58,6.28%,633,35,5.53%,349,25,7.16%,335,20,5.97%,304,19,6.25%,321,26,8.10%,262,17,6.49%,307,18,5.86%,477,27,5.66%,393,1500.00%,3.82%,315,1200.00%,3.81%,194,300.00%,1.55%,238,700.00%,2.94%,227,700.00%,3.08%,162,400.00%,2.47%,79,200.00%,2.53%,243,1100.00%,4.53%,253,700.00%,2.77%,104,300.00%,2.88%,165,600.00%,3.64%,3,8241.76%,165,6,3.64%
44,flutter app developers,https://www.virtualemployee.com/lp/hire-flutter-app-developers/,Wasi,Nabil,1107,10,0.90%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,3,0.00%,0.00%,117,100.00%,0.85%,95,100.00%,1.05%,247,300.00%,1.21%,155,100.00%,0.65%,178,0.00%,0.00%,156,200.00%,1.28%,0,0.00%,156,2,1.28%
45,Hire Full Stack Developers (Mobile),https://www.virtualemployee.com/ir/full-stack-dev-m-v2/,Wasi,Sanjay,980,7,0.71%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,68,1,1.47%,114,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,1,0.00%,0.00%,1,0.00%,0.00%,6,0.00%,0.00%,205,100.00%,0.49%,177,200.00%,1.13%,191,100.00%,0.52%,167,0.00%,0.00%,163,100.00%,0.61%,0,0.00%,,1,,0,0,
46,Python Web Developers,https://www.virtualemployee.com/ir/python-web-dev-v4/,Wasi,Sanjay,1033,6,0.58%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,94,1,1.06%,138,0,0.00%,140,0,0.00%,178,1,0.56%,185,1,0.54%,148,100.00%,0.68%,1,14705.88%,148,1,0.68%
47,Bookkeepers(Original),https://www.virtualemployee.com/lp/hire-expert-bookkeepers-optimized/,Hemant,Mukhteshwar,3994,112,2.80%,61,0,0.00%,255,5,1.96%,174,2,1.15%,233,6,2.58%,731,11,1.50%,253,7,2.77%,284,10,3.52%,265,4,0.00%,381,10,2.62%,374,17,4.55%,334,10,2.99%,239,11,4.60%,165,3,1.82%,415,12,2.89%,404,16,3.96%,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,2,0.00%,0.00%,1,0.00%,0.00%,228,600.00%,2.63%,175,100.00%,0.57%,124,600.00%,4.84%,171,400.00%,2.34%,132,500.00%,3.79%,111,200.00%,1.80%,145,400.00%,2.76%,2,7246.38%,145,4,2.76%
48,hire unity developer,https://www.virtualemployee.com/ir/hire-unity-developers/,Irfan,Sanjay,993,9,0.91%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,112,100.00%,0.89%,174,100.00%,0.57%,73,100.00%,1.37%,94,0.00%,0.00%,53,0.00%,0.00%,242,300.00%,1.24%,0,0.00%,242,3,1.24%
49,hire-virtual-assistant-services,https://www.virtualemployee.com/service/hire-virtual-assistant-services/,old,old,920,18,1.96%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,1,0,0.00%,0,0.00%,,50,0.00%,0.00%,2,0.00%,0.00%,1,0.00%,0.00%,0,0.00%,,163,500.00%,3.07%,91,300.00%,3.30%,177,400.00%,2.26%,66,0.00%,0.00%,105,100.00%,0.95%,131,200.00%,1.53%,1,6535.95%,131,2,1.53%
50,Freetrial,https://www.virtualemployee.com/freetrial/,old,old,1305,62,4.75%,0,0,,0,0,,0,0,,0,0,,6,0,0.00%,0,0,,0,0,,0,0,0.00%,0,0,,6,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,15,2,13.33%,24,2,8.33%,14,2,14.29%,27,1,3.70%,26,6,23.08%,42,1,2.38%,31,0,0.00%,39,4,10.26%,29,0.00%,0.00%,44,300.00%,6.82%,49,200.00%,4.08%,33,400.00%,12.12%,63,200.00%,3.17%,112,300.00%,2.68%,98,400.00%,4.08%,141,800.00%,5.67%,130,400.00%,3.08%,123,400.00%,3.25%,126,300.00%,2.38%,4,16806.72%,126,3,2.38%
51,Hire Mobile App Developer M,https://www.virtualemployee.com/da/hire-mobile-app-developer-m/,Daya,Mohsin,740,8,1.08%,4,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,10,100.00%,10.00%,0,0.00%,,0,0.00%,,166,200.00%,1.20%,121,0.00%,0.00%,158,100.00%,0.63%,184,200.00%,1.09%,97,100.00%,1.03%,0,0.00%,,1,1.03%,0,0,
52,Animation experts(Variant),https://www.virtualemployee.com/lp/hire-animation-experts/,Irfan,Ajay,804,26,3.23%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,108,400.00%,3.70%,150,200.00%,1.33%,121,500.00%,4.13%,112,300.00%,2.68%,115,400.00%,3.48%,99,200.00%,2.02%,4,19801.98%,99,2,2.02%
53,outsource-finance-services,https://www.virtualemployee.com/lp/outsource-finance-services/,Daya,Mohsin,729,1,0.14%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,2,0.00%,0.00%,101,100.00%,0.99%,47,0.00%,0.00%,113,0.00%,0.00%,239,0.00%,0.00%,175,0.00%,0.00%,26,0.00%,0.00%,0,,26,0,0.00%
54,Hire Game Developer,https://www.virtualemployee.com/da/hire-game-developer/,Nilanjana,Nabil,661,8,1.21%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0.00%,0.00%,0,0.00%,,0,0.00%,,3,0.00%,0.00%,293,400.00%,1.37%,360,400.00%,1.11%,3,0.00%,0.00%,0,0.00%,,0,0.00%,,0,0.00%,,0,,0,0,
55,Hire Web App Developer,https://www.virtualemployee.com/lp/hire-web-app-developer/,Daya,Nabil,996,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,66,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,361,0,0.00%,283,0,0.00%,0,,283,0,0.00%
56,3d-animation-experts,https://www.virtualemployee.com/service/3d-animation-experts/,old,old,719,11,1.53%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,144,200.00%,1.39%,100,0.00%,0.00%,106,100.00%,0.94%,112,200.00%,1.79%,85,200.00%,2.35%,85,100.00%,1.18%,2,16949.15%,85,1,1.18%
